datetime,daily_pnl,cumulative_pnl
2024-01-02,3.5,3.5
2024-01-03,-66.0,-62.5
2024-01-04,-49.5,-112.0
2024-01-05,48.5,-63.5
2024-01-08,194.0,130.5
2024-01-09,142.0,272.5
2024-01-10,13.0,285.5
2024-01-11,-297.0,-11.5
2024-01-12,-231.0,-242.5
2024-01-16,-77.5,-320.0
2024-01-17,-14.5,-334.5
2024-01-18,256.5,-78.0
2024-01-19,214.5,136.5
2024-01-22,-243.0,-106.5
2024-01-23,-13.0,-119.5
2024-01-24,-345.0,-464.5
2024-01-25,42.0,-422.5
2024-01-26,-178.5,-601.0
2024-01-29,6.0,-595.0
2024-01-31,-703.0,-1298.0
2024-02-01,597.0,-701.0
2024-02-02,488.0,-213.0
2024-02-06,-207.0,-420.0
2024-02-09,507.0,87.0
2024-02-12,-126.0,-39.0
2024-02-13,-717.0,-756.0
2024-02-14,-3.0,-759.0
2024-02-15,375.0,-384.0
2024-02-16,-213.0,-597.0
2024-02-20,21.0,-576.0
2024-02-23,-552.0,-1128.0
2024-03-01,1031.0,-97.0
2024-03-06,-2.0,-99.0
2024-03-08,-1224.0,-1323.0
2024-03-11,700.5,-622.5
2024-03-14,-1398.0,-2020.5
2024-03-22,-51.0,-2071.5
2024-03-25,-9.0,-2080.5
